company_name,address,city,state,county,zip1,zip2,url,latitude,longitude
Xiente,174 Diamond Street,Philadelphia,PA,Philadelphia County,19122,,xiente.org,39.981253,-75.135516
Greater Cincinnati Microenterprise Initiative,1740 Langdon Farm Rd,Cincinnati,OH,Hamilton County,45237,,http://www.gcmi.org/,39.184971,-84.4639
Cincinnati-Hamilton County Community Action Agency,1740 Langdon Farm Road,Cincinnati,OH,Hamilton County,45237,,cincy-caa.org,39.184971,-84.4639
Tribal Homeownership Coalition of the Southwest,1756 E. Loma Vista St.,Gilbert,AZ,Maricopa County,85295,,tribalhomesw.org,33.315619,-111.752202
Framework Homeownership,177 Huntington Ave Ste 1703 PMB 49146,Boston,MA,Suffolk County,02115,,www.frameworkhomeownerhsip.org,42.344939,-71.082808
Cooperative Development Foundation,1775 I Street Northwest,Washington,DC,District of Columbia,20006,,cdf.coop,38.901601,-77.0412
California Capital Financial Development Corporation,1792 Trubute Rd Suite 270,Sacramento,CA,Sacramento County,95815,,www.cacapital.org,38.59822,-121.445964
Local Enterprise Assistance Fund (LEAF),17A Sparhawk St,Brighton,MA,Suffolk County,02135,,http://www.leaffund.org/,42.351159,-71.149681
democracy.org / Friends of Adams Morgan Plaza,1800 Columbia Road Northwest,Washington,DC,District of Columbia,20009,,adamsmorganplaza.com,38.922167,-77.042867
Mom Your Business,1801 Fairmount Ave,Philadelphia,PA,Philadelphia County,19130,,momyourbusiness.com,39.967431,-75.167076
Jefferson Street Center,1801 N. Jefferson St,Wilmington,DE,New Castle County,19802,,jeffersonstreetcenter.org,39.754836,-75.546365
Massachusetts Affordable Housing Alliance,"1803 Dorchester Ave Dorchester, MA, 02124",Dorchester,MA,Suffolk County,02124,2530,www.mahahome.org,42.289129,-71.063621
Haitian American Community Development Corporation DBA Little Haiti CDC,"181 NE 82nd St., 1st Floor",Miami,FL,Miami-Dade County,33138,,www.haitianamericancdc.org,25.849959,-80.193636
Neighborhood Improvement Association,1812 Abercorn Street,Savannah,GA,Chatham County,31401,,http://www.niacdc.org/,32.058594,-81.096895
Communities United for Action,1814 Dreman Ave,Cincinnati,OH,Hamilton County,45223,,http://www.cufacincy.org,39.153629,-84.549336
Working In Neighborhoods,1814 Dreman Ave.,Cincinnati,OH,Hamilton County,45223,,www.wincincy.org,39.153629,-84.549336
Bonzy,1817 Lake Shore Drive,Columbus,OH,Franklin County,43204,,bonzy.org,39.993286,-83.07386
Resurrection Project,1818 S. Paulina Street,Chicago,IL,Cook County,60608,,http://resurrectionproject.org/,41.857126,-87.668959
National NeighborWorks Association,1819 L Street NW #400,Washington,DC,District of Columbia,20036,,http://www.nnwa.us/,38.904011,-77.042468
Fair Housing Center of Northern Alabama,1820 7th Ave. North Suite 110,Birmingham,AL,Jefferson County,35203,,www.fhcna.com,33.519741,-86.811849
Local Initiatives Support Corporation (LISC),1825 K Street NW  Suite 1100,Washington,DC,District of Columbia,20006,,http://www.lisc.org/,38.90287,-77.042436
US Action,1825 K Street NW Suit 210,Washington,DC,District of Columbia,20006,,http://www.usaction.org,38.90287,-77.042436
Housing Authority Birmingham District,1826 3rd Ave South,Birmingham,AL,Jefferson County,35223,,http://habd.org/,33.50893,-86.805255
"Navigate Affordable Housing Partners, Inc.","1827 1st Avenue North, Suite 100",Birmingham,AL,Jefferson County,35203,,https://navigatehousing.com,33.513203,-86.807528
Washington Homeownership Center,"18551 Aurora Ave N, Suite 200",Shoreline,WA,King County,98133,,www.homeownership-wa.org,47.76484,-122.346262
National Committee for Responsive Philanthropy,1900 L St NW Suite 825,Washington,DC,District of Columbia,20036,,www.ncrp.org,38.903575,-77.043908
National Housing Conference,"1900 M Street, NW, Suite 200",Washington,DC,District of Columbia,20036,,www.nhc.org,38.905369,-77.043872
Community Growth Fund,"1901 Centre Avenue, Suite 200",Pittsburgh,PA,Allegheny County,15219,,www.cgfund.org,40.443298,-79.980969
Pittsburgh Community Reinvestment Group,"1901 Centre Avenue, Suite 200",Pittsburgh,PA,Allegheny County,15219,,http://www.pcrg.org,40.443298,-79.980969
National Council on Aging,1901 L ST NW; 4th Floor,Washington,DC,District of Columbia,20036,,http://www.ncoa.org/,38.904043,-77.043891
Divine Direction Int'l Outreach Ministries,"1901 Ranch Rd, 620 North",Austin,TX,Travis County,78734,,http://www.divinedirectionministries.com/about-bishop.html,30.381657,-97.942972
"Community Action Partnership of North Alabama, Inc CAPNA",1909 Central Parkway  SW,Decatur,AL,Morgan County,35601,,www.capna.org,34.57621,-86.985695
Texas Association of Community Development Corporations (TACDC),1910 East Martin Luther King Jr. Blvd,Austin,TX,Travis County,78702,,www.tacdc.org,30.280146,-97.720668
Texas Community Capital,1910 East Martin Luther King Junior Boulevard,Austin,TX,Travis County,78702,,tccapital.org,30.280146,-97.720668
Virginia Diverse Chamber of Commerce,1912 Carroll Ave NW,Roanoke,VA,Roanoke City County,24017,,swvadiversechamberofcommerce.org,37.289347,-79.967208
"Urban Economic Development Association of Wisconsin, Inc. UEDA","1915 N Dr. Martin Luther King Drive, #260",Milwaukee,WI,Milwaukee County,53212,,www.uedawi.org,43.055656,-87.914661
"RCAP Solutions, Inc.",1919 May Street,Worcester,MA,Worcester County,01519,,http://www.rcapsolutions.org/,42.203944,-71.682862
Rockaway Development & Revitalization Corporation,1920 Mott Ave,Far Rockaway,NY,Queens County,11691,,rdrc.org,40.604067,-73.752349
Neighborhood Housing Services of Waterbury,"193 Grand St, 3rd Floor",Waterbury,CT,New Haven County,06702,,nhswaterbury.org,41.55403,-73.042792
Communities First Initiative (CFI),1930 Cherry Tree Lane,Lawrenceville,NJ,Mercer County,08648,,communitiesfirstinitiative.org,40.248463,-74.731797
Florida International University Metropolitan Center,"1930 SW 145 Ave, 339",Miramar,FL,Broward County,33027,,https://metropolitan.fiu.edu/,25.991579,-80.339374
New Hope Community Development Non-Profit Housing Corporation,19487 Evergreen Rd,Detroit,MI,Wayne County,48219,2047,www.newhopedetroit.org,42.434454,-83.239345
CommonWealth Kitchen,196 Quincy Street,Dorchester,MA,Suffolk County,02121,,https://commonwealthkitchen.org,42.313077,-71.07392
Greater Boston Legal Services,197 Friend Street,Boston,MA,Suffolk County,02114,,www.gbls.org,42.364209,-71.060471
Innovative Housing Opportunities,19772 Macarthur Boulevard,Irvine,CA,Orange County,92612,,innovativehousing.com,33.656334,-117.861879
Lake Michigan Community Development Corporation,2 Cadence Park Plaza,Michigan City,IN,LaPorte County,46360,,,41.718618,-86.89893
Community Housing of Wyandotte County (CHWC) Inc.,2 S 14th St,Kansas City,KS,Wyandotte County,66102,,https://chwckck.org,39.103878,-94.645013
Regional Housing Legal Services,2 South Easton Road,Glenside,PA,Montgomery County,19038,,rhls.org,40.101642,-75.152892
Four Directions Development Corporation,20 Godfrey Drive,Orono,ME,Penobscot County,04473,,https://fourdirectionsmaine.org/,44.89905,-68.683244
Hale Mahaolu Homeownership,200 Hina Ave,Kahului,HI,Maui County,96732,,halemahaolu.org,20.882964,-156.473611
NAACP Houston Branch,2002 Wheeler Avenue,Houston,TX,Harris County,77004,,naacphouston.org,29.728629,-95.374256
Florida Home Partnership,201 14th Avenue Southeast ,Ruskin,FL,Hillsborough,33570,,flhome.org,27.705585,-82.431819
GAEDA Revitalization Corporation,"201 Johnston Street, Suite 401",Alexandria,LA,Rapides Parish County,71301,,https://grcorp.org/,31.311535,-92.443522
"Couleecap, Inc.",201 Melby St,Westby,WI,Monroe County,54667,,www.couleecap.org,43.654226,-90.858122
Financial Planner Education Diversity Empowerment Corporation ,"201 North Union St, Suite 110",Alexandria,VA,Alexandria City,22314,2414,http://www.FPEDEC.org,38.805407,-77.039842
"Washington Area Community Investment Fund, Inc.",2012 Rhode Island Ave NE,Washington,DC,District of Columbia,20018,,http://www.wacif.org/,38.929668,-76.975645
Hill Community Development Corporation,"2015 Centre Avenue, 2nd Floor",Pittsburgh,PA,Allegheny County,15219,,www.hilldistrict.org,40.444043,-79.97998
Adelante Mujeres,2030 Main Street,Forest Grove,OR,Washington County,97116,,www.adelantemujeres.org,45.520537,-123.11249
Community Investment Corporation,2033 East Grant Road,Tucson,AZ,Pima County,85719,,cictucson.org,32.250646,-110.941277
"Forward Community Investments, Inc.","2045 Atwood Avenue, Ste 101A",Madison,WI,Dane County,53704,,http://www.forwardci.org/,43.091733,-89.35357
Catholic Charities USA,2050 Ballenger Ave,Alexandria,VA,Alexandria City,22314,,https://www.catholiccharitiesusa.org,38.802574,-77.064958
CASA of Oregon,20508 SW Roy Rogers Rd Suite 155,Sherwood,OR,Washington County,97140,,www.casaoforegon.org,45.371549,-122.84596
"First Community Capital, Inc.",2060 Chicago Avenue,Temecula,CA,Riverside County,92591,,fccbi.org,33.992587,-117.348133
STREAM Innovations,"209 20th Street North, Suite 138",Birmingham,AL,Jefferson County,35203,,http://streaminnovations.org,33.515741,-86.806164
Women's Economic Ventures,"21 E Canon Perdido Street, Ste 301",Santa Barbara,CA,Santa Barbara County,93101,,https://www.wevonline.org/,34.42143,-119.700158
Faith in Action Alabama,2100 4th Ave N,Birmingham,AL,Jefferson County,35203,,faithinactionalabama.org,33.518333,-86.805899
TMC Community Capital,2101 Rosecrans Ave Suite 4280,El Segundo,CA,Los Angeles County,90245,,https://tmccommunitycapital.org/,33.902296,-118.387434
New Mexico Center for Housing Law,2104 Altura Verde Ln NE,Albuquerque,NM,Bernalillo County,87110,,nmchl.org,35.102612,-106.597827
City of DeSoto,211 E. Pleasant Run Rd.,DeSoto,TX,Dallas County,75115,,desototexas.gov,32.605523,-96.85478
Pennsylvania Housing Finance Agency,211 N. Front Street,Harrisburg,PA,Dauphin County,17101,,http://www.phfa.org/,40.260415,-76.885265
Native CDFI Network,211 W. 3rd Street,Grand Island,NE,Hall County,68801,,nativecdfi.net,40.925214,-98.341362
Arizona Native Asset Coalition Corporation,2111 E BASELINE RD SUITE C2,Tempe,NM,Maricopa County,85283,,http://swnativeassets.com,33.378269,-111.896735
Native Community Capital,"2111 East Baseline Road, Suite C2",Tempe,AZ,Maricopa County,85283,,https://nativecap.org/,33.378269,-111.896735
"Grameen America, Inc.",212 Guernsey Street,Brooklyn,NY,King County,11222,,www.grameenamerica.org,40.727903,-73.955047
Merced Housing Texas,212 West Laurel,San Antonio,TX,Bexar County,78212,,mercedhousingtexas.org,29.441563,-98.496173
Wayne Metropolitan Community Action Agency (Wayne Metro CAA),2121 Biddle Ave,Wyandotte,MI,Wayne County,48192,,https://www.waynemetro.org/,42.212739,-83.148962
"Neighborhood Housing Services of Greater Berks, INC",213 North 5th Street Suite 1030,Reading,PA,Berks County,19601,,nhsgb.org,40.338697,-75.927357
"Hartford Community Loan Fund, Inc.",215 Garden St,Hartford,CT,Hartford County,06105,,www.hartfordloans.org,41.773889,-72.687108
Nehemiah Gateway CDC,215 w. 23rd  St,Wilmington,DE,New Castle County,19802,,https://nehemiahgateway.org/,39.755736,-75.540226
U.S. PIRG,"218 D Street SE, 1st Fl",Washington,DC,District of Columbia,20003,,http://uspirg.org,38.885308,-77.002568
DACC Education & Public Improvement (EPI) Foundation,22 E. Fifth Street Chamber Plaza,Dayton,OH,Montgomery County,45402,,http://www.dacc.org/,39.756507,-84.190084
EAH Housing,22 Pelican Way,San Rafael,CA,Marin County,94901,,http://eahhousing.org/,37.948571,-122.492554
Demos,"220 Fifth Ave, 2nd Flr",New York City,NY,New York County,10001,,http://www.demos.org,40.743678,-73.988252
People's Housing F.K.A.Tulane Canal Neighborhood Development Corporation,2200 Tulane Avenue,New Orleans,LA,Orleans County,70118,,phplusnola.org,29.959052,-90.085372
City of Tuscaloosa,2201 University Blvd,Tuscaloosa,AL,Tuscaloosa County,35401,,http://www.tuscaloosa.com/,33.210244,-87.565809
Healthcare Anchor Network,"2202 18th St NW, Suite 317",Washington,DC,District of Columbia ,20009,,https://healthcareanchor.network/,38.918956,-77.041837
Economic Action Maryland,2209 Maryland Avenue,Baltimore,MD,City of Baltimore,21218,,www.marylandconsumers.org,39.31465,-76.617917
"Pershing Yoakley & Associates, P.C.",2220 Sutherland Avenue,Knoxville,TN,Knox County,37919,,pyapc.com,35.956667,-83.95183
City on a Hill,2224 W. Kilbourn Avenue,Milwaukee,WI,Milwaukee County,53233,,https://cityonahillmke.org/,43.042479,-87.94063
John Boner Neighborhood Centers,2236 E. 10th St,Indianapolis,IN,Marion County,46201,,https://jbncenters.org/,39.781557,-86.123158
Alameda County Housing & Community Development,224 W. Winton Ave ,Hayward,CA,Alameda County,94544,,acgov.org,37.658301,-122.095665
Association for Black Economic Power,227 Colfax Ave N,Minneapolis,MN,Hennepin County,55405,,abepmpls.org,44.97914,-93.291909
"Atlanta Neighborhood Development Partnership, Inc.","229 Peachtree Street NE, Ste 705",Atlanta,GA,Fulton County,30303,1605,www.andpi.org,33.760151,-84.386435
CocoLife Inc,23 Houston Ave,Westville,NJ,Glouster County,08093,,cocolife.black,39.854368,-75.118151
Utah Housing Coalition,"230 500 West, #216",Salt Lake City,UT,Salt Lake County,84101,,utahhousing.org,40.774511,-111.919311
"ACT! Albany Community Together, Inc.",230 S Jackson St Ste 333,Albany,GA,Dougherty County,31701,,www.albanycommunitytogether.com,31.574198,-84.153252
Urban Neighborhood Initiative,2300 Main Street,Kansas City,MO,Jackson County,64108,,uni-kc.org,39.088887,-94.584572
"Our Casas Resident Council, Inc.",2300 W. Commerce St. #218,San Antonio,TX,Bexar County,78207,,sa-ourcasas.com,29.427219,-98.520655
Chester Cultural Arts and Technology Center,2300 West 4th Street,Chester,PA,Delaware County,19013,,https://www.chestercaatcenter.org/,39.835275,-75.386429
Mission Economic Development Agency (MEDA),2301 Miaaion Street STE 301,San Francisco,CA,San Francisco County,94110,,www.medasf.org,37.788865,-122.391572
"Pathways to Success, Inc.",231 S. Race Street,Georgetown,DE,Sussex County,19971,,http://www.pathways-2-success.org/,38.688837,-75.381629
Richmond Neighborhood Housing Services,2310 Cutting Blvd,Richmond,CA,Contra Costa County,94804,,eastbaynhs.org,37.925043,-122.347585
SB WORKS,2316 Rhode Island Avenue Northeast,Washington,DC,Washington County,20018,,sbworksdc.org,38.930936,-76.972928
Uptima Entrepreneur Cooperative,2323 Broadway,Oakland,CA,Alameda County,94612,,https://uptimacoop.com,37.812515,-122.26634
SaverLife,235 Montgomery Street,San Francisco ,CA,San Francisco County,94104,,saverlife.org,37.791447,-122.402626
The Faith Church,23708 Hastings Way,Land O Lakes,FL,Pasco County,34639,,,28.210955,-82.423724
Housing Opportunities Made Equal of Greater Cincinnati,"2400 Reading Rd, Suite 118",Cincinnati,OH,Hamilton County,45202,,www.homecincy.org,39.125741,-84.501596
Solar and Energy Loan Fund of St. Lucie County Inc.,2400 Rhode Island Avenue,Fort Pierce,FL,St. Lucie County,34950,,https://solarenergyloanfund.org/,27.429789,-80.348476
Family Housing Advisory Services,"2401 Lake St, Ste 201",Omaha,NE,Douglas County,68111,,www.fhasinc.org,41.281232,-95.947584
"OMAHA 100, INC",2401 Lake Street,Omaha,NE,Douglas County,68111,,http://www.omaha100.org/,41.281232,-95.947584
NeighborWorks Sacramento,2411 Alhambra Blvd Ste 200,Sacramento,CA,Sacramento County,95817,,nwsacramento.org,38.556746,-121.471942
Abayomi Community Development Corporation,24331 W. Eight Mile Rd,Detroit,MI,Wayne County,48219,,http://www.abayomicdc.org/,42.441759,-83.282069
Life Asset,2448 18th Street Northwest,Washington,DC,District of Columbia,20009,,lifeasset.org,38.921895,-77.042736
Atlanta Land Trust,245 North Highland Avenue Northeast,Atlanta,GA,DeKalb County,30307,,atlantalandtrust.org,33.762007,-84.359389
Nonprofit VOTE,2464 Massachusetts Ave,Cambridge,MA,Middlesex County,02140,,nonprofitvote.org,42.398457,-71.131822
Dominican Center,2470 W. Locust St,Milwaukee,WI,Milwaukee County,53206,,dominican-center.org,43.071913,-87.944048
Northern Ohio Affordable Housing,2490 Lee Boulevard Suite 306,Cleveland Heights,OH,Cuyahoga County,44118,,,41.516118,-81.569588
Georgia Advancing Communities Together,"250 Georgia Avenue SE, Suite 350",Atlanta,GA,Fulton County,30312,,http://www.georgiaact.org/,33.737319,-84.379196
Georgia WAND,250 Georgia Avenue Southeast,Atlanta,GA,Fulton County,30312,,georgiawand.org,33.737319,-84.379196
2or3 Gathered Together,2503 Southern Ave Unit 65172,Fayetteville,NC,Cumberland County,28306,,2or3gatheredtogether.com,35.017488,-78.903961
African Diaspora Directorate,"2509 22nd Street, NE",Washington,DC,District of Columbia,20018,,https://africandiasporadirectorate.org/,38.922715,-76.973986
AQUME Foundation,2511 Newstead Ave SW,Wyoming,MI,Kent County,49509,,aqumefoundation.org,42.918325,-85.693987
Santa Fe Habitat For Humanity,2520 Camino Entrada,Santa Fe,NM,Santa Fe County,87507,,santafehabitat.org,35.636945,-106.020908
Home Repair Resource Center,2520 Noble Road,Cleveland Heights,OH,Cuyahoga County,44121,2133,http://hrrc-ch.org/,41.532736,-81.5447
Lifted Cares,2520 Pirate Dr,Chalmette,LA,St Bernard County,70043,,liftedservicesllc.com,29.950151,-89.988119
GLCU Foundation for Financial Empowerment,2525 Green Bay Road,North Chicago,IL,,60064,,glcu.org,42.313251,-87.862989
The Financial Clinic/Change-Machine,"254 36th Street Suite B321, Unit 16",Brooklyn,NY,Kings County,11232,,https://change-machine.org/,40.656012,-74.007414
Minority Business Development Institute,256 W 36th Street,New York City,NY,New York County,08550,,minoritybdi.org,40.75304,-73.991752
SouthFair Community Development Corporation,2610 Martin Luther King Jr. Blvd,Dallas,TX,Dallas County,75215,,http://www.southfaircdc.org/,32.767244,-96.770155
Affordable Housing Education and Development,262 Cottage St,Littleton,NH,Grafton County,03561,,www.homesahead.org,43.98571,-72.078543
Bessemer Redevelopment Corporation,2625 5th Ave N Bldg C,Bessemer,AL,Jefferson County,35020,,brcal.org,33.410567,-86.946661
Colorado Springs Realtist Association,2635 Plymouth Dr,Colorado Springs,CO,Elpaso County,80916,,Coloradospringsrealtist.com,38.794304,-104.737378
Hispanics Avanzando Hispanics dba Hispanic Chamber Cincinnati Foundation,2637 Erie Ave Suite 206,Cincinnati,OH,Hamilton County,45208,,hahcincinnati.org,39.139519,-84.444037
Community Action Agency of South Alabama,26440 N. Pollard Rd,Daphne,AL,Baldwin County,36526,,http://www.caaofsa.org/,30.610433,-87.884863
Flagship Enterprise Center Inc (dba Bankable),2705 Enterprise Drive,Anderson,IN,Madison County,46013,,flagshipenterprise.org,40.037492,-85.729968
ALIVE!,2723 King Street,Alexandria,VA,Alexandria City,22302,,alive-inc.org,38.815397,-77.072542
Housing Research & Advocacy Center,"2728 Euclid Avenue, Suite 200",Cleveland,OH,Cuyahoga County,44115,,www.thehousingcenter.org,41.502169,-81.669177
CDFI Friendly South Bend,2740 Miami St,South Bend,IN,St. Joseph County,46614,,cdfifriendlysouthbend.org,41.646225,-86.234501
California Association for Microenterprise Opportunity,275 Fifth Street  4th Floor,San Francisco,CA,San Francisco County,94103,,www.microbiz.org,37.780732,-122.403588
"New York StateWide Senior Action Council, Inc.",275 State Street,Albany,NY,Albany County,12210,,www.nysenior.org,42.654379,-73.76117
"United Housing, Inc.",2750 Colony Park Dr,Memphis,TN,Shelby County,38118,,http://www.uhinc.org/,35.073707,-89.922229
University Neighborhood Housing Program,2751 Grand Concourse,Bronx,NY,Bronx County,10468,,www.unhp.org,40.868288,-73.892932
Chinatown Community Land Trust,28 Ash Street,Boston,MA,Suffolk County,02111,,chinatownclt.org,42.348689,-71.063362
"Neighborhood Concepts, Inc.",2806 6th St SW,Huntsville,AL,Madison County,35805,,www.neighborhoodconcepts.org,34.710842,-86.607897
The Home Ownership Center of Greater Cincinnati,2820 Vernon Pl,Cincinnati,OH,Hamilton County,45219,,http://hometoday.cc/,39.13147,-84.499599
ProsperUs Detroit,2835 Bagley Avenue,Detroit,MI,Wayne County,48216,,prosperusdetroit.org,42.324193,-83.081283
MiSide,"2835 Bagley, Suite 800",Detroit,MI,Wayne County,48216,,miside.org,42.324193,-83.081283
Central Alabama Fair Housing Center,2867 Zelda Road,Montgomery,AL,Montgomery County,36106,,centralalabamafairhousing.org,32.359294,-86.264455
Ephesians Community Development Center,2887 Foothill Avenue,Richmond,CA,Contra Costa County,94804,,www.ephesianscdc.org,37.922656,-122.342378
Golden Triangle Housing Services,28924 Hwy 50 E,West Point,MS,Clay County,39773,,,33.605637,-88.606345
Chicago Community Loan Fund,29 East Madison Street  Suite 1700,Chicago,IL,Cook County,60602,,www.cclfchicago.org,41.88184,-87.626492
Inclusive Action for the City,2900 E. Cesar E. Chavez Avenue,Los Angeles,CA,Los Angeles County,90033,,https://www.inclusiveaction.org/,34.04387,-118.20149
National Urban League,2901 14th Street NW,Washington,DC,District of Columbia,20009,,http://www.gwul.org,38.927024,-77.032046
Easterseals Redwood,2901 Gilbert Avenue,Cincinnati,OH,Hamilton County,45206,,eastersealsredwood.org,39.131215,-84.488627
Latino Leadership Council,2945 Bell Rd,Auburn,CA,Placer County,95603,,latinoleadershipcouncil.org,38.941949,-121.094474
Greater Cincinnati African American Chamber of Commerce,2945 Gilbert Ave,Cincinnati,OH,Hamilton County,45206,,http://www.african-americanchamber.com/,39.133083,-84.488157
"Communities Unlimited, Inc.",3 E Colt Square Dr,Fayetteville,AR,Washington County,72703,,https://communitiesu.org/,36.09202,-94.156681
"Coastal Enterprises, Inc.",30 Federal Street  Suite 100,Brunswick,ME,Cumberland County,04011,,www.ceimaine.org,43.916155,-69.963891
South Florida Community Development Coalition Inc.,300 NW 12th Avenue,Miami,FL,Miami Dade County ,33128,,www.sfcdcoalition.org,25.776621,-80.214869
City of Greensboro,300 West Washington Street,Greensboro,NC,Guilford County,27402,,greensboro-nc.gov,36.071154,-79.792637
Catalyst Miami,3000 Biscayne Blvd 210,Miami,FL,Miami-Dade County,33137,,www.catalystmiami.org,25.805735,-80.189559
The Pennsylvania Avenue Baptist Church,3000 Pennsylvania Avenue Southeast,Washington,DC,District of Columbia,20020,,pabc-dc.org,38.871137,-76.963815
"Black Business Investment Fund Florida, Inc.",301 E. Pine Street Ste. 175,Orlando,FL,Orange County,32801,,http://www.bbif.com/,28.541775,-81.374451
African American Alliance of CDFI CEOs,301 East Pine Street Ste. 175,Orlando,FL,Orange County,32801,,https://aaacdfi.org/,28.541775,-81.374451
Legacy CDC,3025 PLaza Cir,Port Arthur,TX,Jefferson County,77642,,http://www.legacycdc.org/,29.914891,-93.946534
MY project USA,3036 Sullivant Ave,Columbus,OH,Franklin County,43204,,https://www.myprojectusa.org/,39.943545,-83.079672
Logan Heights Community Development Corporation,3040 Imperial Ave.,San Diego,CA,San Diego County,92102,,www.loganheightscdc.org,32.706699,-117.128551
"The Housing Fund, Inc.",305 11th Avenue South,Nashville,TN,Davidson County,37203,,https://thehousingfund.org/about-us/history/,36.153686,-86.784483
Housing Alliance of Pennsylvania,309 Florence Avenue Suite 914N,Jenkintown,PA,Montgomery County,19046,,www.housingalliancepa.org,40.094394,-75.135126
Miami Valley Urban League,"31 South Main Street, Suite 211",Dayton,OH,Montgomery County,45402,,mvul.org,39.759114,-84.191873
Free Grace SPCDC,310 Meadow Creek Pl,Jackson,MS,Franklin County,39211,,,32.391281,-90.104853
Solita's House Inc,3101 East 7th Ave,Tampa,FL,Hillsborough County,33605,,http://www.solitashouse.com/,27.960059,-82.42509
Metro North Community Development Corp.,3103 North Main Street,Jacksonville,FL,Duval County,32206,,www.metronorthcdc.org,30.357247,-81.65368
Tennessee Human Rights Commission,"312 Rosa L. Parks Ave, 23rd Floor",Nashville,TN,Davidson County,37243,,http://www.tn.gov/humanrights,36.163945,-86.784702
Artists Space Trust,3120 Shattuck Ave,Berkeley,CA,Alameda County,94705,,artistspacetrust.org,37.852561,-122.266417
"CHES, Inc. (Credit & Homeownership Empowerment Services, Inc)",3125 Gillham Plz,Kansas City,MO,Jackson County,64109,,http://chesinc.org/,39.069829,-94.578575
Northeast Ohio Public Energy Council,31360 Solon Road,Solon,OH,Cuyahoga County,44139,,nopec.org,41.383898,-81.457074
Metropolitan Consortium of Community Developers,3137 Chicago Ave,Minneapolis,MN,Hennepin County,55407,,www.mccdmn.org,44.945416,-93.262253
Gateway Community Development Corporation,314 S Garnett ST,Henderson,NC,Vance County,27536,,N/A,36.325807,-78.405239
Dar Al-Hijrah Islamic Center,3159 Row Street,Falls Church,VA,Fairfax County,22044,,hijrah.org,38.861451,-77.146749
Fahe,319 Oak Street,Berea,KY,Madison County,40403,,www.fahe.org,37.571874,-84.305789
Neighborhood Innovation Center,3207 Meramec St,St. Louis,MO,St. Louis City,63118,,nicstl.org,38.580546,-90.239946
MoveOn.org Political Action,321 President St,Saint Paul,MN,Ramsey County,55104,,http://www.MoveOn.org,44.955615,-93.16702
Native American Connections,"3216 N 3rd St PHOENIZ, Arizona, 85012",Phoenix,AZ,Maricopa County,85012,,nativeconnections.org,33.485091,-112.069886
The Happily Natural Day,3219 North Avenue,Richmond,VA,City of Richmond,23222,,Thenaturalfestival.com,37.576133,-77.432407
Responsible Endowments Coalition,33 Flatbush Avenue Fifth Floor,Brooklyn,NY,Brooklyn County,11217,,http://www.endowmentethics.org,40.687709,-73.979878
Ohio Community Development Corporation Association,33 N. 3rd Street  Ste 200,Columbus,OH,Franklin County,43215,,www.ohiocdc.org,39.963352,-82.998327
Scale Link,33 S.  Chesapeake Way,Zebulon,NC,Wake County,27597,,scalelink.org,35.744284,-78.273605
"Leviticus Fund, Inc.",33 West Main St. Room 205,Elmsford,NY,Westchester County,10523,2413,http://www.leviticusfund.org/,41.05735,-73.823667
Opportunity Resource Fund,"330 Marshall Street, Suite 105",Lansing,MI,Ingham County,48912,,www.oppfund.org,42.737196,-84.525194
WSECU,330 Union Avenue Southeast,Olympia,WA,Thurston County,98501,,wsecu.org,47.039383,-122.897454
"Pinellas County Urban League, Inc.",333 31st Street North,St. Petersburg,FL,Pinellas County,33713,,pcul.org,27.775305,-82.675039
New England Legal Foundation,333 Washington Street,Boston,MA,Suffolk County,02108,,newenglandlegal.org,42.357249,-71.059601
Unity Baptist Church,3400 tinkers branch way,Fort washington,MD,Prince George's County,20744,,,38.759843,-76.948378
Sun Community Housing Development Organization,"3419 NW Evangeline Thwy Suite F 3,",Carencro,LA,Lafayette Parish County,70520,,sunchdo.com,30.302305,-92.028559
Data You Can Use,345 West Saint Paul Avenue,Milwaukee,WI,Wisconsin County,53203,,datayoucanuse.org,43.033777,-87.91498
"Vida Mejor Capital, Inc.",347 Eagle Drive,Ohkay Owingeh,NM,Rio Arriba County,87566,,https://www.vidamejorcapital.com,36.039053,-106.058205
Northwest Fair Housing Alliance,35 W. Main Ave Suite 250,Spokane,WA,Spokane County,99201,,www.nwfairhouse.org,47.658866,-117.412695
Community Action Partnership of Huntsville/Madison and Limestone Counties,3516 Stringfield Road,Huntsville,AL,Madison County,35810,,www.htsval.org,34.778816,-86.618275
Avenue Community Development Corporation,"3517 Irvington Blvd., 3rd floor",Houston,TX,Harris County,77009,,http://avenuecdc.org,29.792494,-95.36134
Greenline Access Capital,"3525 I Street, Unit 111 MaKen Studios North",Philadelphia,PA,Philadelphia County,19134,,greenlineaccess.org,40.001502,-75.110066
Sherman Park Community Association Inc,3526 W Fond du Lac Ave,Milwaukee,WI,Milwaukee County,53216,,shermanpark.org,43.075856,-87.95773
Community Shelter Board,355 E Campus View Blvd Ste 250,Columbus,OH,Franklin County,43235,,csb.org,40.118244,-83.00688
"Indianapolis Neighborhood Housing Partnership, Inc.",3550 North Washington Boulevard,Indianapolis,IN,Marion County,46205,3179,www.inhp.org,39.820133,-86.152224
Help the People Program HCA,3567 Covington Highway Rear Building,Decatur,GA,Dekalb County,30032,,http://helpthepeopleprograms.org,33.764948,-84.252117
